score_etoiles,score_dc,titre,entreprise,metier_norm,secteur_norm,niveau_norm,lieu,contrat,date_pub,date_limite,salaire,source,url,niveau_source,secteur_source,first_seen,last_seen,statut,raison_archive
★★☆☆☆,2,Documentaliste Douane - Noé / Docs Specialist (MJ001841),Sunda International,Logistique & Supply Chain,Logistique & Achats,Junior,"Noé, Comoé, Côte d'Ivoire",Full-time,2026-06-03,,,LinkedIn,https://ci.linkedin.com/jobs/view/documentaliste-douane-no%C3%A9-docs-specialist-mj001841-at-sunda-international-4422963365?position=1&pageNum=42&refId=hVzOCvL4EyrogLzNSNiTsw%3D%3D&trackingId=smUSB10h52dSXYGcwpSflg%3D%3D,Entry level,"International Trade and Development, Personal Care Product Manufacturing, and Household and Institutional Furniture Manufacturing",2026-06-19,2026-06-19,archive,retirée de la source
★★★★★,5,Directeur Developpemen,,Direction & Management,Finance & Banque,Manager/Direction,Côte d'Ivoire,,,,,RMO Jobcenter,https://www.rmo-jobcenter.com/fr/cote-d-ivoire/offres-emploi/finance-audit-assur-banques/3955-directeur-developpement.html,,Finance/Audit/Assur,2026-06-19,2026-06-19,archive,retirée de la source
★★★★☆,4,Digital Developer,AY Solutions Academy,Développement & Logiciel,Tech & Digital,Confirmé,"Abidjan, Côte d'Ivoire",Full-time,2026-06-17,,,LinkedIn,https://ci.linkedin.com/jobs/view/digital-developer-at-ay-solutions-academy-4429979642?position=10&pageNum=20&refId=n%2FPpngtq3oBRJvrVZN05TQ%3D%3D&trackingId=XtAF6JzFBFv7tJJAPmNKxQ%3D%3D,Not Applicable,Professional Training and Coaching,2026-06-19,2026-06-19,archive,retirée de la source
★★★☆☆,3,Créateur de contenu pour les réseaux sociaux,FLEXX,"DevOps, Infra & Réseau",Tech & Digital,Junior,"Abidjan, Abidjan, Côte d'Ivoire",Full-time,2026-06-19,,,LinkedIn,https://ci.linkedin.com/jobs/view/cr%C3%A9ateur-de-contenu-pour-les-r%C3%A9seaux-sociaux-at-flexx-4428254217?position=3&pageNum=20&refId=n%2FPpngtq3oBRJvrVZN05TQ%3D%3D&trackingId=5um0Ln4zlpdlyuva6w9Crw%3D%3D,Entry level,Textile Manufacturing,2026-06-19,2026-06-19,archive,retirée de la source
★★★★☆,4,Country manager Ivory Coast,PUM,Direction & Management,Autres / Généraliste,Senior,Côte d'Ivoire,Part-time,2026-06-08,,,LinkedIn,https://ci.linkedin.com/jobs/view/country-manager-ivory-coast-at-pum-4425452812?position=2&pageNum=32&refId=J6TsznqCmobEXGRZX8e0rg%3D%3D&trackingId=RJ6JWSmfMv6zpAwyVmAuLQ%3D%3D,Mid-Senior level,"Non-profit Organizations, International Trade and Development, and Business Consulting and Services",2026-06-19,2026-06-19,archive,retirée de la source
★★★★★,5,Coordinateur Réseau Médical F/H,Henner Group,"DevOps, Infra & Réseau",Tech & Digital,Senior,"Abidjan, Côte d'Ivoire",Full-time,2026-06-15,,,LinkedIn,https://ci.linkedin.com/jobs/view/coordinateur-r%C3%A9seau-m%C3%A9dical-f-h-at-henner-group-4427468862?position=4&pageNum=35&refId=sdl2kxB4EyFc5hadw3s7qQ%3D%3D&trackingId=4RQ5aNCy2by2wX4HWFrLbA%3D%3D,Not Applicable,Insurance,2026-06-19,2026-06-19,archive,retirée de la source
★★★★☆,4,Contrôleur de Crédit Client & Cash Management,Roche,Finance & Contrôle de gestion,Finance & Banque,Confirmé,"Abidjan, Abidjan, Côte d'Ivoire",Full-time,2026-06-10,,,LinkedIn,https://ci.linkedin.com/jobs/view/contr%C3%B4leur-de-cr%C3%A9dit-client-cash-management-at-roche-4427095669?position=8&pageNum=25&refId=XmR6VEOSL8ZBE2rYmcH9oQ%3D%3D&trackingId=dRDw4i%2F57E%2Fgcpm4EhFX8Q%3D%3D,Associate,"Pharmaceutical Manufacturing, Biotechnology Research, and Medical Equipment Manufacturing",2026-06-19,2026-06-19,archive,retirée de la source
★★★★☆,4,Construction QA/QC Supervisor,Endeavour Mining,Opérations & Supervision,BTP & Construction,Senior,"Tanda, Zanzan, Côte d'Ivoire",Contract,2026-06-17,,,LinkedIn,https://ci.linkedin.com/jobs/view/construction-qa-qc-supervisor-at-endeavour-mining-4427388336?position=9&pageNum=7&refId=vY39cRFYpolMjMkfq9nbJQ%3D%3D&trackingId=rmjOWiG4QXGEB2PekCS52g%3D%3D,Mid-Senior level,"Mining and Oil, Gas, and Mining",2026-06-19,2026-06-19,archive,retirée de la source
★★★★☆,4,Compliance Partner,Roche,Juridique & Conformité,Juridique,Confirmé,"Abidjan, Abidjan, Côte d'Ivoire",Full-time,2026-06-08,,,LinkedIn,https://ci.linkedin.com/jobs/view/compliance-partner-at-roche-4425907906?position=6&pageNum=22&refId=LnEYYo%2F3wGaKw6fbKauIhg%3D%3D&trackingId=eUr%2BoIXsm3pzGWNzbLmv%2Bw%3D%3D,Associate,"Pharmaceutical Manufacturing, Biotechnology Research, and Medical Equipment Manufacturing",2026-06-19,2026-06-19,archive,retirée de la source
★★★☆☆,3,Commercial,BIA GROUP,Commercial & Vente,Commerce & Vente,Confirmé,Côte d'Ivoire,Full-time,2026-05-27,,,LinkedIn,https://ci.linkedin.com/jobs/view/commercial-at-bia-group-4414006669?position=6&pageNum=10&refId=IUk2GoMCUGDaXVLEYtfYBQ%3D%3D&trackingId=RlEUEq%2FWD1ovk%2FTeftq4ug%3D%3D,Not Applicable,Machinery Manufacturing,2026-06-19,2026-06-19,archive,retirée de la source
★★★★★,5,Chef de projet Bilingue,Concentrix,Gestion de projet,ONG & Projets,Senior,"Abidjan, Abidjan, Côte d'Ivoire",Full-time,2026-06-02,,,LinkedIn,https://ci.linkedin.com/jobs/view/chef-de-projet-bilingue-at-concentrix-4371936235?position=8&pageNum=45&refId=%2Fa0uy%2FKAiNpW85%2BMe1q7ZQ%3D%3D&trackingId=ebtG%2FOEKY48%2BSQ1NrctNKg%3D%3D,Not Applicable,IT Services and IT Consulting,2026-06-19,2026-06-19,archive,retirée de la source
