score_etoiles,score_dc,titre,entreprise,metier_norm,secteur_norm,niveau_norm,lieu,contrat,date_pub,date_limite,salaire,source,url,niveau_source,secteur_source,first_seen,last_seen,statut,raison_archive
★★★★☆,4,Mécanicien de Poste - Cimenterie,YESHI GROUP,Ingénierie & Technique,Ingénierie & Industrie,Confirmé,Côte d'ivoire,,25 Juin,,,Novojob,https://www.novojob.com/cote-d-ivoire/offres-d-emploi/offre-d-emploi/cote-d-ivoire/136745-mecanicien-de-poste-cimenterie,Confirmé / Expérimenté ( Plus de 10 ans ),,2026-06-29,2026-07-20,active,
★★★★☆,4,OPERATEUR MACHINE H/F,SOLIBRA (Société de Limonaderies et de Brasseries d'Afrique),Production & Industrie,Ingénierie & Industrie,Confirmé,"Abidjan, Côte d'ivoire",,01 Juin,,,Novojob,https://www.novojob.com/cote-d-ivoire/offres-d-emploi/offre-d-emploi/cote-d-ivoire/abidjan/136713-operateur-machine-h-f,Confirmé / Expérimenté ( 3 à 5 ans ),,2026-06-19,2026-07-20,active,
★★★★☆,4,Operator,耐克森中国,Production & Industrie,Ingénierie & Industrie,Confirmé,"Yopougon, Abidjan, Côte d'Ivoire",Full-time,2026-07-10,,,LinkedIn,https://ci.linkedin.com/jobs/view/operator-at-%E8%80%90%E5%85%8B%E6%A3%AE%E4%B8%AD%E5%9B%BD-4439075216?position=12&pageNum=0&refId=jATfuyOESXXP2gGeWNrngg%3D%3D&trackingId=K1iuik88ekE1Jx%2B7QksIlg%3D%3D,Not Applicable,"Appliances, Electrical, and Electronics Manufacturing",2026-07-18,2026-07-20,active,
★★★★☆,4,Production Operator,耐克森中国,Production & Industrie,Ingénierie & Industrie,Confirmé,"Yopougon, Abidjan, Côte d'Ivoire",Full-time,2026-07-10,,,LinkedIn,https://ci.linkedin.com/jobs/view/production-operator-at-%E8%80%90%E5%85%8B%E6%A3%AE%E4%B8%AD%E5%9B%BD-4439062842?position=15&pageNum=0&refId=jATfuyOESXXP2gGeWNrngg%3D%3D&trackingId=MH7tEHU%2Foz%2FTXnLfiR12iA%3D%3D,Not Applicable,"Appliances, Electrical, and Electronics Manufacturing",2026-07-18,2026-07-20,active,
★★★★☆,4,Préparateur Méthodes / Technicien Méthodes Maintenance - Cimenterie,YESHI GROUP,Ingénierie & Technique,Ingénierie & Industrie,Confirmé,Côte d'ivoire,,25 Juin,,,Novojob,https://www.novojob.com/cote-d-ivoire/offres-d-emploi/offre-d-emploi/cote-d-ivoire/136746-preparateur-methodes-technicien-methodes-maintenance-cimenterie,Confirmé / Expérimenté ( 6 à 10 ans ),,2026-06-29,2026-07-20,active,
★★★★☆,4,TECHNICIEN DE FABRICATION (H/F),SOLIBRA (Société de Limonaderies et de Brasseries d'Afrique),Ingénierie & Technique,Ingénierie & Industrie,Confirmé,"Abidjan, Côte d'ivoire",,26 Juin,,,Novojob,https://www.novojob.com/cote-d-ivoire/offres-d-emploi/offre-d-emploi/cote-d-ivoire/abidjan/136754-technicien-de-fabrication-h-f,Confirmé / Expérimenté ( 3 à 5 ans ),,2026-06-29,2026-07-20,active,
★★★★☆,4,"TECHNICIEN(NE) FLUIDE Abidjan, CÔTE D'IVOIRE",LUSEO,Ingénierie & Technique,Ingénierie & Industrie,Confirmé,"Abidjan, Côte d'Ivoire",Full-time,2026-07-14,,,LinkedIn,https://ci.linkedin.com/jobs/view/technicien-ne-fluide-abidjan-c%C3%B4te-d-ivoire-at-luseo-4438025530?position=9&pageNum=0&refId=jATfuyOESXXP2gGeWNrngg%3D%3D&trackingId=lt6dfeuno2eN8%2BHfRDJ4Cg%3D%3D,Not Applicable,Engineering Services,2026-07-18,2026-07-20,active,
★★★★☆,4,Technicien,KATSU SAS,Ingénierie & Technique,Ingénierie & Industrie,Confirmé,"Abidjan, Côte d'Ivoire",Full-time,2026-07-19,,,LinkedIn,https://ci.linkedin.com/jobs/view/technicien-at-katsu-sas-4441778592?position=11&pageNum=0&refId=jATfuyOESXXP2gGeWNrngg%3D%3D&trackingId=eHMiVMk3YKC5eVBK2o0Feg%3D%3D,Not Applicable,Business Consulting and Services,2026-07-20,2026-07-20,active,
★★★★☆,4,Technicien (Mécanique + Électricité),YESHI GROUP,Ingénierie & Technique,Ingénierie & Industrie,Confirmé,Côte d'ivoire,,14 Juillet,,,Novojob,https://www.novojob.com/cote-d-ivoire/offres-d-emploi/offre-d-emploi/cote-d-ivoire/136770-technicien-mecanique-electricite,Confirmé / Expérimenté ( 3 à 5 ans ),,2026-07-18,2026-07-20,active,
★★★★☆,4,C&B Expert Region Africa,CMA CGM,"Conseil, Expertise & Stratégie",Logistique & Achats,Senior,"Abidjan, Côte d'Ivoire",Full-time,2026-07-03,,,LinkedIn,https://ci.linkedin.com/jobs/view/c-b-expert-region-africa-at-cma-cgm-4435464426?position=6&pageNum=2&refId=tCI9Cgslsl%2FgqXUgSgWAGA%3D%3D&trackingId=eOxuvT4Y36VYF%2BgoTTksag%3D%3D,Mid-Senior level,"Transportation, Logistics, Supply Chain and Storage and Maritime Transportation",2026-07-18,2026-07-20,active,
★★★★☆,4,Chef Service Marketing,,Marketing & Growth,Marketing & Communication,Confirmé,Côte d'Ivoire,,,,,RMO Jobcenter,https://www.rmo-jobcenter.com/fr/cote-d-ivoire/offres-emploi/administration-ong-services/4062-chef-service-marketing.html,,Administration/ONG/Services publiques,2026-07-18,2026-07-20,active,
★★★★☆,4,Marketing & Communication assistant,KATSU SAS,Marketing & Growth,Marketing & Communication,Confirmé,"Abidjan, Côte d'Ivoire",Internship,2026-07-19,,,LinkedIn,https://ci.linkedin.com/jobs/view/marketing-communication-assistant-at-katsu-sas-4441782437?position=35&pageNum=0&refId=jATfuyOESXXP2gGeWNrngg%3D%3D&trackingId=GBlssDP1tULMh14%2F8zKfsg%3D%3D,Not Applicable,Business Consulting and Services,2026-07-20,2026-07-20,active,
★★★★☆,4,Humanitarian Specialist|Abidjan- Cote D'Iviore|CDI|40 Heures,A Igreja de Jesus Cristo dos Santos dos Últimos Dias,Autres métiers,ONG & Projets,Confirmé,"Cocody, Abidjan, Côte d'Ivoire",Full-time,2026-07-10,,,LinkedIn,https://ci.linkedin.com/jobs/view/humanitarian-specialist-abidjan-cote-d-iviore-cdi-40-heures-at-a-igreja-de-jesus-cristo-dos-santos-dos-%C3%BAltimos-dias-4439311205?position=26&pageNum=0&refId=jATfuyOESXXP2gGeWNrngg%3D%3D&trackingId=d1hwuNr%2Bw8lxfF7YelyaAQ%3D%3D,Not Applicable,Religious Institutions,2026-07-18,2026-07-20,active,
★★★★☆,4,Chef Produit Digita,,Autres métiers,Tech & Digital,Confirmé,Côte d'Ivoire,,,,,RMO Jobcenter,https://www.rmo-jobcenter.com/fr/cote-d-ivoire/offres-emploi/ntic/3817-chef-produit-digital.html,,NTIC,2026-06-19,2026-07-20,active,
★★★★☆,4,DESIGNER UI/UX & INFOGRAPHISTE,,Product & Design,Tech & Digital,Confirmé,Côte d'Ivoire,,19/06/2026,24/07/2026,,Educarriere,https://emploi.educarriere.ci/offre-151394-designer-ui-ux-infographiste.html,,,2026-06-19,2026-06-22,active,
