score_etoiles,score_dc,titre,entreprise,secteur_norm,niveau_norm,lieu,contrat,date_pub,date_limite,salaire,niveau_source,secteur_source,source,url,date_collecte
★★★☆☆,3,VENDEUSE DYNAMIQUE ET EXPERIMENTEE,SEQUOIA STORE,Commerce & Vente,Confirmé,Côte d'ivoire,,16 Avril,,,Confirmé / Expérimenté ( 1 à 2 ans ),,Novojob,https://www.novojob.com/cote-d-ivoire/offres-d-emploi/offre-d-emploi/cote-d-ivoire/136670-vendeuse-dynamique-et-experimentee,2026-06-19
★★★☆☆,3,Assistant Logistique,,Logistique & Achats,Confirmé,Côte d'Ivoire,,,,,,Commerce/vente/Distribution,RMO Jobcenter,https://www.rmo-jobcenter.com/fr/cote-d-ivoire/offres-emploi/commerce-vente-distribution/3899-assistant-logistique.html,2026-06-19
★★★☆☆,3,CONDUCTEUR VEHICULE (H/F),,Logistique & Achats,Confirmé,Côte d'Ivoire,,19/06/2026,29/06/2026,,,,Educarriere,https://emploi.educarriere.ci/offre-151398-conducteur-vehicule-h-f.html,2026-06-19
★★★☆☆,3,Magasinier,,Logistique & Achats,Confirmé,Côte d'Ivoire,,,,,,Industrie/production/Mat 1eres,RMO Jobcenter,https://www.rmo-jobcenter.com/fr/cote-d-ivoire/offres-emploi/industrie-production-mat-1eres/4027-magasinier.html,2026-06-19
★★★☆☆,3,Magasinier Emballages  H/F,SOLIBRA (Société de Limonaderies et de Brasseries d'Afrique),Logistique & Achats,Confirmé,"Abidjan, Côte d'ivoire",,22 Mai,,,Confirmé / Expérimenté ( 3 à 5 ans ),,Novojob,https://www.novojob.com/cote-d-ivoire/offres-d-emploi/offre-d-emploi/cote-d-ivoire/abidjan/136699-magasinier-emballages-h-f,2026-06-19
★★★☆☆,3,Magasinier Produits finis H/F,SOLIBRA (Société de Limonaderies et de Brasseries d'Afrique),Logistique & Achats,Confirmé,"Abidjan, Côte d'ivoire",,28 Mai,,,Confirmé / Expérimenté ( 3 à 5 ans ),,Novojob,https://www.novojob.com/cote-d-ivoire/offres-d-emploi/offre-d-emploi/cote-d-ivoire/abidjan/136706-magasinier-produits-finis-h-f,2026-06-19
★★★☆☆,3,Pointeur Quai  H/F,SOLIBRA (Société de Limonaderies et de Brasseries d'Afrique),Logistique & Achats,Confirmé,"Abidjan, Côte d'ivoire",,22 Mai,,,Confirmé / Expérimenté ( 3 à 5 ans ),,Novojob,https://www.novojob.com/cote-d-ivoire/offres-d-emploi/offre-d-emploi/cote-d-ivoire/abidjan/136698-pointeur-quai-h-f,2026-06-19
★★★☆☆,3,Affililé Marketing H/F,Melbet Côte d'ivoire,Marketing & Communication,Junior,Côte d'ivoire,,07 Mai,,,Débutant / Junior ( 3 à 5 ans ),,Novojob,https://www.novojob.com/cote-d-ivoire/offres-d-emploi/offre-d-emploi/cote-d-ivoire/136687-affilile-marketing-h-f,2026-06-19
★★★☆☆,3,BOA-CI CAP CARRIERE Programme de stage 2026,BOA CI,ONG & Projets,Stage,"Abidjan, Côte d'ivoire",,20 Mai,,,Jeune diplômé ( Sans expérience ),,Novojob,https://www.novojob.com/cote-d-ivoire/offres-d-emploi/offre-d-emploi/cote-d-ivoire/abidjan/136694-boa-ci-cap-carriere-programme-de-stage-2026,2026-06-19
★★★☆☆,3,Chargé de la Production Informatique H/F,BOA CI,Tech & Digital,Junior,"Abidjan, Côte d'ivoire",,12 Juin,,,Débutant / Junior ( 1 à 2 ans ),,Novojob,https://www.novojob.com/cote-d-ivoire/offres-d-emploi/offre-d-emploi/cote-d-ivoire/abidjan/136724-charge-de-la-production-informatique-h-f,2026-06-19
